TEXT,INTEGER,TEXT,NUMERIC(4|2),NUMERIC(4|2),NUMERIC(4|2),TEXT,TEXT,INTEGER,INTEGER,INTEGER,INTEGER,TEXT
department,course_number,course_name,lecture_hours,lab_hours,credit_hours,prerequisites,corequisites,fall,spring,summer,winter,equivalent_with
CSCI,101,INTRODUCTION TO COMPUTER SCIENCE,3,,3,,,1,1,0,0,
CSCI,102,INTRODUCTION TO COMPUTER SCIENCE - LAB,,1,,,,,,,,
CSCI,198,SPECIAL TOPICS,,,,,,1,1,0,0,
CSCI,199,INDEPENDENT STUDY,,,,,,1,1,0,0,
CSCI,250,PYTHON-BASED COMPUTING: BUILDLING A SENSOR SYSTEM,3,,3,,MATH213&PHGN200,1,1,0,0,
CSCI,260,FORTRAN PROGRAMMING,2,,2,,,1,0,0,0,
CSCI,262,DATA STRUCTURES,3,,3,CSCI261,,1,1,1,0,
CSCI,274,INTRODUCTION TO THE LINUX OPERATING SYSTEM,1,,1,CSCI261,,1,1,0,0,
CSCI,290,PROGRAMMING CHALLENGES 1,1,,1,,CSCI262,,,,,
CSCI,295,INDUSTRY EXPLORATION 1,1,,1,,,,,,,
CSCI,298,SPECIAL TOPICS,,,,,,1,1,0,0,
CSCI,299,INDEPENDENT STUDY,,,,,,1,1,0,0,
CSCI,303,INTRODUCTION TO DATA SCIENCE,3,,3,CSCI101|CSCI102|CSCI261,,,,,,
CSCI,306,SOFTWARE ENGINEERING,3,,3,CSCI262,,1,1,0,0,
CSCI,340,COOPERATIVE EDUCATION,3,,3,,,1,1,1,1,
CSCI,341,COMPUTER ORGANIZATION,3,,3,CSCI261,CSCI262,1,1,0,0,
CSCI,358,DISCRETE MATHEMATICS,3,,3,MATH213&MATH223&MATH224,,1,1,0,0,
CSCI,370,ADVANCED SOFTWARE ENGINEERING,,13.5,4.5,CSCI306,,1,0,1,1,
CSCI,390,PROGRAMMING CHALLENGES 2,1,,1,CSCI290,CSCI358,,,,,
CSCI,395,INDUSTRY EXPLORATION 2,1,,1,,,,,,,
CSCI,398,SPECIAL TOPICS,,,,,,1,1,0,0,
CSCI,399,INDEPENDENT STUDY,,,,,,1,1,0,0,
CSCI,400,PRINCIPLES OF PROGRAMMING LANGUAGES,3,,3,CSCI306&CSCI358,,,,,,
CSCI,403,DATA BASE MANAGEMENT,3,,3,CSCI262,,1,1,0,0,
CSCI,404,ARTIFICIAL INTELLIGENCE,3,,3,CSCI262&MATH201,,0,1,0,0,
CSCI,406,ALGORITHMS,3,,3,CSCI262&(MATH213|MATH223|MATH224)&(MATH300|MATH358|CSCI358),,1,1,0,0,MATH406
CSCI,410,ELEMENTS OF COMPUTING SYSTEMS,3,,3,CSCI341|EENG383,,1,1,0,0,
CSCI,422,USER INTERFACES,3,,3,CSCI262,,1,0,0,0,
CSCI,423,COMPUTER SIMULATION,3,,3,CSCI274&CSCI306&MATH201,,,,,,
CSCI,425,COMPILER DESIGN,3,,3,CSCI274&CSCI306&CSCI341,,,,,,
CSCI,432,ROBOT ETHICS,3,,3,CSCI262&MATH201,,0,1,0,1,
CSCI,436,HUMAN-ROBOT INTERACTION,3,,3,CSCI262&MATH201,,,,,,
CSCI,437,INTRODUCTION TO COMPUTER VISION,3,,3,(MATH201|EENG311)&MATH332&CSCI261&SENIOR,,1,0,0,0,CSCI512&EENG507&EENG512
CSCI,440,PARALLEL COMPUTING FOR SCIENTISTS AND ENGINEERS,3,,3,CSCI262&CSCI341,,0,1,0,0,MATH440
CSCI,441,COMPUTER GRAPHICS,3,,3,CSCI262&MATH332,,1,0,0,0,MATH441
CSCI,442,OPERATING SYSTEMS,3,,3,CSCI262&CSCI274&CSCI341,,1,1,0,0,
CSCI,443,ADVANCED PROGRAMMING CONCEPTS USING JAVA,3,,3,CSCI306,,1,1,0,0,
CSCI,444,ADVANCED COMPUTER GRAPHICS,3,,3,CSCI441,,0,1,0,0,MATH444
CSCI,445,WEB PROGRAMMING,3,,3,CSCI262,CSCI403,1,0,0,0,
CSCI,446,WEB APPLICATIONS,3,,3,CSCI262,CSCI403,0,1,0,0,
CSCI,447,SCIENTIFIC VISUALIZATION,3,,3,CSCI262&MATH441,,1,0,0,0,MATH447
CSCI,448,MOBILE APPLICATION DEVELOPMENT,3,,3,CSCI306,,0,1,0,0,
CSCI,455,GAME THEORY AND NETWORKS,3,,3,CSCI358&CSCI406,,1,0,0,0,CSCI555
CSCI,470,INTRODUCTION TO MACHINE LEARNING,3,,3,(CSCI101|CSCI102|CSCI261)&MATH201&MATH332,,1,0,0,0,
CSCI,471,COMPUTER NETWORKS 1,3,,3,CSCI262&CSCI274,,1,0,0,0,
CSCI,473,HUMAN-CENTERED ROBOTICS,3,,3,CSCI262&MATH201,,0,1,0,0,CSCI573
CSCI,474,INTRODUCTION TO CRYPTOGRAPHY,3,,3,CSCI262&CSCI358&(MATH334|MATH335|MATH201),,0,1,0,0,MATH474
CSCI,475,INFORMATION SECURITY AND PRIVACY,3,,3,CSCI262&CSCI341,,1,0,0,0,
CSCI,477,ELEMENTS OF GAMES AND GAME DEVELOPMENT,3,,3,CSCI262,,0,1,0,0,
CSCI,478,INTRODUCTION TO BIOINFORMATICS,3,,3,CSCI101|CSCI102|CSCI261,,,,,,
CSCI,480,COMPUTER SCIENCE HONORS THESIS,,,3,CSCI306,,1,1,0,0,
CSCI,490,PROGRAMMING CHALLENGES 3,1,,1,CSCI390,CSCI406,,,,,
CSCI,498,SPECIAL TOPICS,,,,,,1,1,0,0,
CSCI,499,INDEPENDENT STUDY,,,,,,1,1,0,0,
