TEXT,INTEGER,TEXT,NUMERIC(4|2),NUMERIC(4|2),NUMERIC(4|2),TEXT,TEXT,INTEGER,INTEGER,INTEGER,INTEGER,TEXT
department,course_number,course_name,lecture_hours,lab_hours,credit_hours,prerequisites,corequisites,fall,spring,summer,winter,equivalent_with
EENG,198,Special Topics,,,,,,1,1,0,0,
EENG,199,Independent Study,,,,,,1,1,0,0,
EENG,281,"Introduction to Electrical Circuits, Electronics and Power",3,,3,PHGN200,,,,,,
EENG,282,Electrical Circuits,4,,4,PHGN200,,1,1,0,0,
EENG,284,Digital Logic,4,,4,CSCI261,EENG282|EENG281|PHGN215,,,,,
EENG,298,Special Topics In Electrical Engineering,,,,,,1,1,0,0,
EENG,299,Independent Study,,,,,,1,1,0,0,
EENG,307,Introduction to Feedback Control Systems,3,,3,(EENG281|EENG282|PHGN215)&MATH225,,1,1,0,0,
EENG,310,Information Systems Science 1,4,,4,(EENG281|EENG282|PHGN215)&MATH225,,1,1,0,0,EENG388
EENG,311,Information Systems Science 2,3,,3,EENG310,,1,1,0,0,
EENG,340,Cooperative Education,3,,3,,,1,1,1,0,
EENG,350,Systems Exploration and Engineering Design Lab,2,,2,EENG307&EENG383,,1,1,0,0,
EENG,383,Microcomputer Architecture and Interfacing,4,,4,(EENG281|EENG282|PHGN215)&(EENG284|PHGN317),,1,1,0,0,
EENG,385,Electronic Devices and Circuits,4,,4,EENG307&EENG383,,1,1,0,0,
EENG,386,Fundamentals of Engineering Electromagnetics,3,,3,(EENG281|EENG282)&MATH225,,1,1,0,0,
EENG,389,Fundamentals of Electrical Machinery,4,,4,(EENG281|EENG282),,1,1,0,0,
EENG,390,"Energy, Electricity, Renewable Energy, and Electric Power Grid",,,,(EENG281|EENG282|PHGN215),,1,0,0,1,
EENG,391,FE on Energy Systems and Power Electronics,1,,1,EENG385&EENG389&EENG284&EENG282&EENG307,,,,,,
EENG,392,FE on Information and Systems Sciences,1,,1,(EENG281|EENG282)&CSCI261,EENG307,0,1,0,0,
EENG,393,FE on Integrated Circuits and Electronics Practicum,1,,1,(EENG383|EENG385),,1,0,0,0,
EENG,394,FE on Antennas and Wireless Communications,1,,1,,,1,0,0,0,
EENG,395,Undergraduate Research,,,,,,1,1,0,0,
EENG,398,Special Topics In Electrical Engineering,,,,,,1,1,0,0,
EENG,399,Independent Study,,,,,,1,1,0,0,
EENG,411,Digital Signal Processing,3,,3,EENG310,,0,1,0,0,
EENG,413,Analog and Digital Communication Systems,4,,4,EENG310,,0,1,0,0,
EENG,415,Data Science for Electrical Engineering,3,,3,EENG311,,,,,,
EENG,417,Modern Control Design,3,,3,EENG307,,1,0,0,0,
EENG,421,Semiconductor Device Physics and Design,3,,3,PHGN200,,1,0,0,0,
EENG,423,Introduction to VLSI Design,3,,3,(EENG281|EENG282)&EENG284,,0,1,0,0,
EENG,425,Introduction to Antennas,3,,3,EENG386,,0,1,0,0,
EENG,427,Wireless Communications,3,,3,(EENG311|MATH201)&EENG310,,,,,,
EENG,428,Computational Electromagnetics,3,,3,EENG386,,1,0,0,0,
EENG,429,Active RF & Microwave Devices,3,,3,EENG385,,0,1,0,0,
EENG,430,Passive RF & Microwave Devices,3,,3,EENG386,,1,0,0,0,
EENG,437,Introduction to Computer Vision,3,,3,(MATH201|EENG311)&MATH332&CSCI261&SENIOR,,1,0,0,0,
EENG,470,Introduction to High Power Electronics,3,,3,EENG282,,1,0,0,0,
EENG,475,"Interconnection of Renewable Energy, Integrated Power Electronics, Power Systems, and Power Quality",3,,3,EENG282,,0,0,0,1,
EENG,480,Power Systems Analysis,3,,3,EENG389,,1,0,0,0,
EENG,481,Analysis and Design of Advanced Energy Systems,3,,3,EENG480,,,,,,
EENG,486,Electromagnetic Fields and Waves,3,,3,EENG386,,1,0,0,0,
EENG,489,Computational Methods in Energy Systems and Power Electronics,3,,3,(EENG282|EENG382),,0,1,0,0,
EENG,495,Undergraduate Research,,,,,,1,1,0,0,
EENG,498,Special Topics In Electrical Engineering,,,,,,1,1,0,0,
EENG,499,Independent Study,,,,,,1,1,0,0,
