TEXT,INTEGER,TEXT,NUMERIC(5|2),INTEGER,INTEGER,INTEGER,INTEGER,TEXT
department,course_number,course_title,semester_hours,fall,spring,summer,winter,equivalent_with
MATH,100,INTRODUCTORY TOPICS FOR CALCULUS, 3.0,0,0,1,0,
MATH,111,CALCULUS FOR SCIENTISTS AND ENGINEERS I, 4.0,,,,,
MATH,112,CALCULUS FOR SCIENTISTS AND ENGINEERS II, 4.0,,,,,MATH122
MATH,113,CALCULUS FOR SCIENTISTS AND ENGINEERS II - SHORT FORM, 1.0,1,1,0,0,
MATH,122,CALCULUS FOR SCIENTISTS AND ENGINEERS II HONORS, 4.0,,,,,MATH112
MATH,198,SPECIAL TOPICS, 6.0,1,1,0,0,
MATH,199,INDEPENDENT STUDY,,1,1,0,0,
MATH,201,INTRODUCTION TO STATISTICS, 3.0,,,,,MATH323
MATH,213,CALCULUS FOR SCIENTISTS AND ENGINEERS III, 4.0,,,,,
MATH,214,CALCULUS FOR SCIENTIST AND ENGINEERS III - SHORT FORM, 1.0,1,1,0,0,
MATH,223,CALCULUS FOR SCIENTISTS AND ENGINEERS III HONORS, 4.0,1,1,0,0,
MATH,224,CALCULUS FOR SCIENTISTS AND ENGINEERS III HONORS, 4.0,1,1,0,0,
MATH,225,DIFFERENTIAL EQUATIONS, 3.0,,,,,
MATH,235,DIFFERENTIAL EQUATIONS HONORS, 3.0,1,1,0,0,
MATH,298,SPECIAL TOPICS,,1,1,0,0,
MATH,299,INDEPENDENT STUDY,,1,1,0,0,
MATH,300,FOUNDATIONS OF ADVANCED MATHEMATICS, 3.0,1,1,0,0,
MATH,301,INTRODUCTION TO ANALYSIS, 3.0,,,,,MATH401
MATH,307,INTRODUCTION TO SCIENTIFIC COMPUTING, 3.0,,,,,CSCI407&MATH407
MATH,310,INTRODUCTION TO MATHEMATICAL MODELING, 3.0,1,1,0,0,
MATH,332,LINEAR ALGEBRA, 3.0,,,,,
MATH,334,INTRODUCTION TO PROBABILITY, 3.0,1,1,1,0,
MATH,335,INTRODUCTION TO MATHEMATICAL STATISTICS, 3.0,1,1,0,0,
MATH,340,COOPERATIVE EDUCATION, 3.0,,,,,
MATH,342,HONORS LINEAR ALGEBRA, 3.0,,,,,
MATH,348,ADVANCED ENGINEERING MATHEMATICS, 3.0,,,,,
MATH,398,SPECIAL TOPICS, 6.0,1,1,0,0,
MATH,399,INDEPENDENT STUDY,,1,1,0,0,
MATH,408,COMPUTATIONAL METHODS FOR DIFFERENTIAL EQUATIONS, 3.0,1,0,0,0,
MATH,424,INTRODUCTION TO APPLIED STATISTICS, 3.0,1,0,0,0,
MATH,431,MATHEMATICAL BIOLOGY, 3.0,1,0,0,0,
MATH,432,SPATIAL STATISTICS, 3.0,1,1,0,0,
MATH,436,ADVANCED STATISTICAL MODELING, 3.0,1,0,0,0,
MATH,437,MULTIVARIATE ANALYSIS, 3.0,1,0,0,0,
MATH,438,STOCHASTIC MODELS, 3.0,1,0,0,0,
MATH,439,SURVIVAL ANALYSIS, 3.0,,,,,
MATH,440,PARALLEL SCIENTIFIC COMPUTING, 3.0,,,,,CSCI440
MATH,454,COMPLEX ANALYSIS, 3.0,1,0,0,0,
MATH,455,PARTIAL DIFFERENTIAL EQUATIONS, 3.0,1,1,0,0,
MATH,457,INTEGRAL EQUATIONS, 3.0,1,0,0,0,
MATH,458,ABSTRACT ALGEBRA, 3.0,1,0,0,0,
MATH,459,ASYMPTOTICS, 3.0,,,,,MATH559
MATH,470,MATHEMATICAL MODELING OF SPATIAL PROCESSES IN BIOLOGY, 3.0,1,0,0,0,
MATH,472,MATHEMATICAL AND COMPUTATIONAL NEUROSCIENCE, 3.0,1,0,0,0,
MATH,482,STATISTICS PRACTICUM (CAPSTONE), 4.0,1,0,0,0,
MATH,484,MATHEMATICAL AND COMPUTATIONAL MODELING (CAPSTONE), 4.0,1,0,0,0,
MATH,491,UNDERGRADUATE RESEARCH,,1,0,0,0,
MATH,492,UNDERGRADUATE RESEARCH,,1,0,0,0,
MATH,498,SPECIAL TOPICS,,1,1,0,0,
MATH,499,INDEPENDENT STUDY,,1,1,0,0,
CBEN,110,FUNDAMENTALS OF BIOLOGY I, 4.0,,,,,BIOL110
CBEN,120,FUNDAMENTALS OF BIOLOGY II, 4.0,,,,,CBEN323
CBEN,198,SPECIAL TOPICS, 6.0,,,,,
CBEN,199,INDEPENDENT STUDY,,,,,,
CBEN,200,COMPUTATIONAL METHODS IN CHEMICAL ENGINEERING, 3.0,1,0,0,0,
CBEN,201,MATERIAL AND ENERGY BALANCES, 3.0,,,,,CHEN201
CBEN,202,CHEMICAL PROCESS PRINCIPLES LABORATORY, 1.0,1,0,0,0,
CBEN,210,INTRO TO THERMODYNAMICS, 3.0,1,1,0,0,
CBEN,250,INTRODUCTION TO CHEMICAL ENGINEERING ANALYSIS AND DESIGN, 3.0,,,,,
CBEN,298,SPECIAL TOPICS,,,,,,
CBEN,299,INDEPENDENT STUDY,,,,,,
CBEN,304,ANATOMY AND PHYSIOLOGY, 3.0,,,,,CBEN404
CBEN,305,ANATOMY AND PHYSIOLOGY LAB, 1.0,,,,,CBEN405
CBEN,307,FLUID MECHANICS, 3.0,1,0,0,0,
CBEN,308,HEAT TRANSFER, 3.0,1,0,0,0,
CBEN,310,INTRODUCTION TO BIOMEDICAL ENGINEERING, 3.0,,,,,
CBEN,311,INTRODUCTION TO NEUROSCIENCE, 3.0,,,,,
CBEN,312,UNIT OPERATIONS LABORATORY, 3.0,0,0,1,0,
CBEN,313,UNIT OPERATIONS LABORATORY, 3.0,0,0,1,0,
CBEN,314,CHEMICAL ENGINEERING HEAT AND MASS TRANSFER, 4.0,1,0,0,0,
CBEN,315,INTRODUCTION TO ELECTROCHEMICAL ENGINEERING, 3.0,1,0,0,0,
