|------------|---------------|-------------------------------------------------------------|---------------|--------------|--------------|---------------------------------------------------------|
| TEXT       | INTEGER       | TEXT                                                        | NUMERIC(4|2)  | NUMERIC(4|2) | NUMERIC(4|2) | TEXT                                                    |
|------------|---------------|-------------------------------------------------------------|---------------|--------------|--------------|---------------------------------------------------------|
| department | course_number | course_name                                                 | lecture_hours | lab_hours    | credit_hours | substitutes                                             |
|------------|---------------|-------------------------------------------------------------|---------------|--------------|--------------|---------------------------------------------------------|
| MATH       |           111 | CALCULUS 1                                                  |               |              |            4 |                                                         |
|------------|---------------|-------------------------------------------------------------|---------------|--------------|--------------|---------------------------------------------------------|
| CHGN       |           121 | PRINCIPLES OF CHEMISTRY 1                                   |               |              |            4 |                                                         |
|------------|---------------|-------------------------------------------------------------|---------------|--------------|--------------|---------------------------------------------------------|
| HASS       |           100 | NATURE AND HUMAN VALUES                                     |               |              |            4 |                                                         |
|------------|---------------|-------------------------------------------------------------|---------------|--------------|--------------|---------------------------------------------------------|
| CSM        |           101 | FRESHMAN SUCCESS SEMINAR                                    |               |              |          0.5 |                                                         |
|------------|---------------|-------------------------------------------------------------|---------------|--------------|--------------|---------------------------------------------------------|
| GEGN       |           101 | EARTH AND ENVIRONMENTAL SYSTEMS                             |               |              |            4 | CBEN110,CSCI101&CSCI102                                 |
|------------|---------------|-------------------------------------------------------------|---------------|--------------|--------------|---------------------------------------------------------|
| PAGN       |               | PHYSICAL ACTIVITY COURSE                                    |               |              |          0.5 |                                                         |
|------------|---------------|-------------------------------------------------------------|---------------|--------------|--------------|---------------------------------------------------------|
| MATH       |           112 | CALCULUS 2                                                  |               |              |            4 |                                                         |
|------------|---------------|-------------------------------------------------------------|---------------|--------------|--------------|---------------------------------------------------------|
| CHGN       |           122 | PRINCIPLES OF CHEMISTRY 2 (SC1)                             |               |              |            4 | CHGN125                                                 |
|------------|---------------|-------------------------------------------------------------|---------------|--------------|--------------|---------------------------------------------------------|
| PHGN       |           100 | PHYSICS 1 - MECHANICS                                       |               |              |          4.5 |                                                         |
|------------|---------------|-------------------------------------------------------------|---------------|--------------|--------------|---------------------------------------------------------|
| EDNS       |           151 | DESIGN 1                                                    |               |              |            3 |                                                         |
|------------|---------------|-------------------------------------------------------------|---------------|--------------|--------------|---------------------------------------------------------|
| PAGN       |               | PHYSICAL ACTIVITY COURSE                                    |               |              |          0.5 |                                                         |
|------------|---------------|-------------------------------------------------------------|---------------|--------------|--------------|---------------------------------------------------------|
| MATH       |           213 | CALCULUS 3                                                  |               |              |            4 |                                                         |
|------------|---------------|-------------------------------------------------------------|---------------|--------------|--------------|---------------------------------------------------------|
| PHGN       |           200 | PHYSICS 2 - ELECTROMAGNETISM AND OPTICS                     |               |              |          4.5 |                                                         |
|------------|---------------|-------------------------------------------------------------|---------------|--------------|--------------|---------------------------------------------------------|
| EDNS       |           269 | DESIGN 2: ENGINEERING PHYSICS                               |               |              |            3 | EDNS251,EDNS261,EDNS262,EDNS363,EDNS264,CEEN267,GPGN268 |
|------------|---------------|-------------------------------------------------------------|---------------|--------------|--------------|---------------------------------------------------------|
| HASS       |           200 | GLOBAL STUDIES                                              |               |              |            3 |                                                         |
|------------|---------------|-------------------------------------------------------------|---------------|--------------|--------------|---------------------------------------------------------|
| PAGN       |               | PHYSICAL ACTIVITY COURSE                                    |               |              |          0.5 |                                                         |
|------------|---------------|-------------------------------------------------------------|---------------|--------------|--------------|---------------------------------------------------------|
| CSCI       |           250 | PYTHON-BASED COMPUTING: BUILDING A SENSOR SYSTEM            |               |              |            3 |                                                         |
|------------|---------------|-------------------------------------------------------------|---------------|--------------|--------------|---------------------------------------------------------|
| MATH       |           225 | DIFFERENTIAL EQUATIONS                                      |               |              |            3 |                                                         |
|------------|---------------|-------------------------------------------------------------|---------------|--------------|--------------|---------------------------------------------------------|
| MATH       |           332 | LINEAR ALGEBRA                                              |               |              |            3 |                                                         |
|------------|---------------|-------------------------------------------------------------|---------------|--------------|--------------|---------------------------------------------------------|
| PHGN       |           310 | HONORS PHYSICS 3: MODERN PHYSICS                            |               |              |            3 | PHGN300                                                 |
|------------|---------------|-------------------------------------------------------------|---------------|--------------|--------------|---------------------------------------------------------|
| PHGN       |           215 | ANALOG ELECTRONICS                                          |               |              |            4 |                                                         |
|------------|---------------|-------------------------------------------------------------|---------------|--------------|--------------|---------------------------------------------------------|
| PAGN       |               | PHYSICAL ACTIVITY COURSE                                    |               |              |          0.5 |                                                         |
|------------|---------------|-------------------------------------------------------------|---------------|--------------|--------------|---------------------------------------------------------|
| PHGN       |           384 | FIELD SESSION TECHNIQUES IN PHYSICS                         |               |              |            6 |                                                         |
|------------|---------------|-------------------------------------------------------------|---------------|--------------|--------------|---------------------------------------------------------|
| PHGN       |           315 | ADVANCED PHYSICS LAB 1                                      |               |              |            2 |                                                         |
|------------|---------------|-------------------------------------------------------------|---------------|--------------|--------------|---------------------------------------------------------|
| PHGN       |           311 | INTRODUCTION TO MATHEMATICAL PHYSICS                        |               |              |            3 |                                                         |
|------------|---------------|-------------------------------------------------------------|---------------|--------------|--------------|---------------------------------------------------------|
| ELECTIVE   |               | HUMANITIES AND SOCIAL SCIENCE MID-LEVEL RESTRICTED ELECTIVE |             3 |              |            3 |                                                         |
|------------|---------------|-------------------------------------------------------------|---------------|--------------|--------------|---------------------------------------------------------|
| PHGN       |           317 | SEMICONDUCTOR CIRCUITS-DIGITAL                              |               |              |            3 |                                                         |
|------------|---------------|-------------------------------------------------------------|---------------|--------------|--------------|---------------------------------------------------------|
| PHGN       |           350 | INTERMEDIATE MECHANICS                                      |               |              |            4 |                                                         |
|------------|---------------|-------------------------------------------------------------|---------------|--------------|--------------|---------------------------------------------------------|
| PHGN       |           361 | INTERMEDIATE ELECTROMAGNETISM                               |               |              |            3 |                                                         |
|------------|---------------|-------------------------------------------------------------|---------------|--------------|--------------|---------------------------------------------------------|
| PHGN       |           320 | MODERN PHYSICS 2: BASICS OF QUANTUM MECHANICS               |               |              |            4 |                                                         |
|------------|---------------|-------------------------------------------------------------|---------------|--------------|--------------|---------------------------------------------------------|
| PHGN       |           326 | ADVANCED PHYSICS LAB 2                                      |               |              |            2 |                                                         |
|------------|---------------|-------------------------------------------------------------|---------------|--------------|--------------|---------------------------------------------------------|
| PHGN       |           341 | THERMAL PHYSICS                                             |               |              |            3 |                                                         |
|------------|---------------|-------------------------------------------------------------|---------------|--------------|--------------|---------------------------------------------------------|
| EBGN       |           201 | PRINCIPLES OF ECONOMICS                                     |               |              |            3 |                                                         |
|------------|---------------|-------------------------------------------------------------|---------------|--------------|--------------|---------------------------------------------------------|
| PHGN       |           471 | SENIOR DESIGN PRINCIPLES 1                                  |               |              |          0.5 |                                                         |
|------------|---------------|-------------------------------------------------------------|---------------|--------------|--------------|---------------------------------------------------------|
| PHGN       |           481 | SENIOR DESIGN PRACTICE                                      |               |              |          2.5 |                                                         |
|------------|---------------|-------------------------------------------------------------|---------------|--------------|--------------|---------------------------------------------------------|
| PHGN       |           462 | ELECTROMAGNETIC WAVES AND OPTICAL PHYSICS                   |               |              |            3 |                                                         |
|------------|---------------|-------------------------------------------------------------|---------------|--------------|--------------|---------------------------------------------------------|
| ELECTIVE   |               | HUMANITIES AND SOCIAL SCIENCE MID-LEVEL RESTRICTED ELECTIVE |             3 |              |            3 |                                                         |
|------------|---------------|-------------------------------------------------------------|---------------|--------------|--------------|---------------------------------------------------------|
| FREE       |               | ELECTIVE                                                    |               |              |            3 |                                                         |
|------------|---------------|-------------------------------------------------------------|---------------|--------------|--------------|---------------------------------------------------------|
| FREE       |               | ELECTIVE                                                    |               |              |            3 |                                                         |
|------------|---------------|-------------------------------------------------------------|---------------|--------------|--------------|---------------------------------------------------------|
